페미위키 링크	이름	공식명칭	지역	분류	학교	홈페이지	인스타그램	페이스북	링크트리	트위터	연대단위	현재투쟁중	활동중지발표
https://femiwiki.com/?curid=76808	여성의당 경상남도당 비상대책위원회		경남	페미니즘							윤석열 OUT 성차별 OUT 페미니스트들		
https://femiwiki.com/?curid=74123	여성인권지원센터살림			페미니즘									
https://femiwiki.com/?curid=3481	여성환경연대			페미니즘		http://ecofem.or.kr/							
https://femiwiki.com/?curid=3477	여세연	젠더정치연구소 여.세.연		페미니즘		http://www.womanpower.or.kr/		https://www.facebook.com/gowopo			한국여성단체연합		
https://femiwiki.com/?curid=76809	여위	이화여자대학교 자치단위 여성위원회 이화여성위원회	서울	페미니즘	이화여자대학교	http://blog.naver.com/ewhalovewom							
https://femiwiki.com/?curid=76810	여파	서울대학교 경영대 여성주의 학회 여파	서울	페미니즘	서울대학교			https://www.facebook.com/wmspower					
https://femiwiki.com/?curid=76811	연대단F	한국여성재판방청연대 연대단F		페미니즘							윤석열 OUT 성차별 OUT 페미니스트들		
https://femiwiki.com/?curid=76812	연분홍치마	성적소수문화인권연대 연분홍치마		퀴어						https://x.com/ypinks			
https://femiwiki.com/?curid=26454	연세대학교 총여학생회		서울	페미니즘	연세대학교			https://www.facebook.com/ys.female.council		https://x.com/ysfemalecouncil			
https://femiwiki.com/?curid=76813	열음	성공회대 실천여성학회 열음	서울	페미니즘	성공회대학교						윤석열 OUT 성차별 OUT 페미니스트들		
https://femiwiki.com/?curid=76814	영광여성의전화			페미니즘		http://ykwhl.or.kr/							
https://femiwiki.com/?curid=72600	영등포여성회		서울	페미니즘							윤석열 OUT 성차별 OUT 페미니스트들		
https://femiwiki.com/?curid=76815	오프너	동국대학교 여성주의 교지 오프너	서울	페미니즘	동국대학교			https://www.facebook.com/openher2015					
https://femiwiki.com/?curid=76816	오프코르셋	유니스트 여성주의 소모임 오프코르셋	울산	페미니즘	유니스트			https://www.facebook.com/offcorset					
https://femiwiki.com/?curid=76817	올:빼미	숭실대학교 문예창작전공 페미니즘 소모임 올:빼미	서울	페미니즘	숭실대학교					https://twitter.com/allfemi401			
https://femiwiki.com/?curid=76818	우레	충북대학교 여성주의 동아리 우레	청주	페미니즘	충북대학교						윤석열 OUT 성차별 OUT 페미니스트들		
https://femiwiki.com/?curid=76819	울림	경희대학교 학생•소수자인권위원회 울림	서울	페미니즘	경희대학교		https://www.instagram.com/khu_haksowee/				윤석열 OUT 성차별 OUT 페미니스트들,젠더폭력 해결을 위한 페미니스트 연대		
https://femiwiki.com/?curid=76820	울산여성의전화			페미니즘		http://www.uwhl.or.kr							
